"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2014","99.9100","99.9100","99.9125","99.9075","10.47K","0.00%"
"07/01/2014","99.9075","99.9000","99.9100","99.9000","19.54K","0.00%"
"06/01/2014","99.9050","99.9100","99.9100","99.9025","19.64K","-0.01%"
"05/01/2014","99.9125","99.9100","99.9150","99.9025","22.56K","0.00%"
"04/01/2014","99.9125","99.9200","99.9250","99.9075","46.62K","-0.01%"
"03/01/2014","99.9200","99.9275","99.9275","99.9175","32.37K","-0.01%"
"02/01/2014","99.9325","99.9225","99.9350","99.9200","21.70K","0.01%"
"01/01/2014","99.9275","99.9150","99.9300","99.9100","21.16K","0.01%"
"12/01/2013","99.9150","99.9150","99.9180","99.9100","22.06K","0.00%"
"11/01/2013","99.9150","99.9150","99.9200","99.9125","9.43K","0.00%"
"10/01/2013","99.9125","99.9000","99.9150","99.8825","61.40K","-0.01%"
"09/01/2013","99.9200","99.9200","99.9225","99.9125","29.10K","0.01%"
"08/01/2013","99.9150","99.9050","99.9175","99.9000","24.98K","0.01%"
"07/01/2013","99.9050","99.8925","99.9075","99.8925","19.47K","0.00%"
"06/01/2013","99.9050","99.8950","99.9100","99.8950","35.62K","0.02%"
"05/01/2013","99.8900","99.8800","99.8925","99.8650","70.65K","0.04%"
"04/01/2013","99.8525","99.8550","99.8600","99.8500","45.25K","0.00%"
"03/01/2013","99.8525","99.8600","99.8600","99.8475","61.09K","0.00%"
"02/01/2013","99.8550","99.8700","99.8700","99.8525","27.68K","-0.01%"
"01/01/2013","99.8600","99.8400","99.8600","99.8300","76.67K","0.03%"
"12/01/2012","99.8300","99.8400","99.8400","99.8300","119.16K","-0.01%"
"11/01/2012","99.8400","99.8300","99.8400","99.8300","52.61K","0.00%"
"10/01/2012","99.8400","99.8600","99.8600","99.8300","82.83K","-0.02%"
"09/01/2012","99.8600","99.8700","99.8700","99.8500","74.20K","0.00%"
"08/01/2012","99.8600","99.8600","99.8700","99.8400","102.38K","0.02%"
"07/01/2012","99.8400","99.8300","99.8400","99.8300","61.48K","0.01%"
"06/01/2012","99.8300","99.8400","99.8400","99.8300","50.80K","-0.01%"
"05/01/2012","99.8400","99.8600","99.8600","99.8400","55.65K","-0.02%"
"04/01/2012","99.8600","99.8800","99.8800","99.8600","55.29K","-0.01%"
"03/01/2012","99.8700","99.8900","99.8900","99.8600","62.41K","-0.02%"
"02/01/2012","99.8900","99.9100","99.9100","99.8800","103.08K","-0.03%"
"01/01/2012","99.9200","99.9200","99.9300","99.9200","42.64K","-0.01%"
"12/01/2011","99.9300","99.9100","99.9300","99.9100","52.25K","0.01%"
"11/01/2011","99.9200","99.9200","99.9200","99.9100","43.55K","-0.01%"
"10/01/2011","99.9300","99.9100","99.9300","99.9100","30.16K","0.01%"
"09/01/2011","99.9200","99.9100","99.9200","99.9100","43.98K","0.02%"
"08/01/2011","99.9000","99.8900","99.9200","99.8600","135.26K","-0.03%"
"07/01/2011","99.9300","99.9100","99.9400","99.9000","61.27K","0.02%"
"06/01/2011","99.9100","99.8900","99.9100","99.8900","76.80K","0.00%"
"05/01/2011","99.9100","99.9000","99.9100","99.9000","68.14K","0.01%"
"04/01/2011","99.9000","99.8800","99.9100","99.8800","118.63K","0.04%"
"03/01/2011","99.8600","99.8500","99.8600","99.8400","105.54K","0.02%"
"02/01/2011","99.8400","99.8300","99.8400","99.8100","76.75K","0.01%"
"01/01/2011","99.8300","99.8200","99.8300","99.8100","69.03K","0.01%"
"12/01/2010","99.8200","99.8100","99.8300","99.8000","75.57K","0.01%"
"11/01/2010","99.8100","99.8200","99.8200","99.8100","120.07K","0.00%"
"10/01/2010","99.8100","99.8100","99.8100","99.8000","55.39K","0.00%"
"09/01/2010","99.8100","99.8100","99.8200","99.8000","93.94K","0.00%"
"08/01/2010","99.8100","99.8100","99.8300","99.8100","59.94K","-0.01%"
"07/01/2010","99.8200","99.8100","99.8300","99.8000","56.07K","0.00%"
"06/01/2010","99.8200","99.7800","99.8300","99.7800","85.30K","0.02%"
"05/01/2010","99.8000","99.7800","99.8000","99.7600","131.67K","0.00%"
"04/01/2010","99.8000","99.8100","99.8100","99.8000","81.68K","-0.03%"
"03/01/2010","99.8300","99.8600","99.8600","99.8200","168.88K","-0.04%"
"02/01/2010","99.8700","99.8700","99.8800","99.8600","93.70K","-0.02%"
"01/01/2010","99.8900","99.8700","99.8900","99.8700","82.52K","0.01%"
"12/01/2009","99.8800","99.8700","99.8800","99.8600","50.41K","0.00%"
"11/01/2009","99.8800","99.8600","99.8800","99.8600","51.75K","0.00%"
"10/01/2009","99.8800","99.8600","99.8800","99.8600","54.50K","0.03%"
"09/01/2009","99.8500","99.8300","99.8600","99.8300","57.33K","0.01%"
"08/01/2009","99.8400","99.8100","99.8400","99.8100","42.57K","0.00%"
"07/01/2009","99.8400","99.8000","99.8400","99.7900","47.71K","0.04%"
"06/01/2009","99.8000","99.8100","99.8200","99.7800","83.94K","-0.02%"
"05/01/2009","99.8200","99.8200","99.8300","99.7800","89.02K","-0.03%"
"04/01/2009","99.8500","99.8000","99.8500","99.8000","99.03K","0.03%"
"03/01/2009","99.8200","99.7700","99.8200","99.7600","77.37K","0.04%"
"02/01/2009","99.7800","99.7700","99.7800","99.7500","63.68K","-0.06%"
"01/01/2009","99.8400","99.8400","99.8800","99.8300","57.60K","0.00%"
"12/01/2008","99.8400","99.5900","99.8500","99.5700","72.83K","0.24%"
"11/01/2008","99.6000","99.3700","99.6800","99.3700","104.83K","0.58%"
"10/01/2008","99.0300","98.2400","99.0300","98.2300","266.65K","0.86%"
"09/01/2008","98.1900","97.9900","98.2100","97.9700","260.41K","0.20%"
"08/01/2008","97.9900","97.9800","98.0000","97.9800","106.01K","0.00%"
"07/01/2008","97.9900","98.0000","98.0100","97.9800","94.14K","-0.01%"
"06/01/2008","98.0000","98.0000","98.0100","97.9400","111.36K","-0.02%"
"05/01/2008","98.0200","98.0000","98.0300","98.0000","199.69K","0.30%"
"04/01/2008","97.7300","97.8300","97.8300","97.7200","136.28K","0.35%"
"03/01/2008","97.3900","97.3600","97.5200","97.2800","215.35K","0.38%"
"02/01/2008","97.0200","97.0500","97.1600","97.0200","333.63K","1.00%"
"01/01/2008","96.0600","95.8300","96.1200","95.8300","363.11K","0.32%"
"12/01/2007","95.7500","95.7800","95.7900","95.7100","302.59K","0.24%"
"11/01/2007","95.5200","95.5100","95.5800","95.5000","293.80K","0.28%"
"10/01/2007","95.2500","95.2800","95.2800","95.2500","110.16K","0.23%"
"09/01/2007","95.0300","95.0200","95.2000","94.9800","271.32K","0.05%"
"08/01/2007","94.9800","94.7700","95.1000","94.7500","729.64K","0.24%"
"07/01/2007","94.7500","94.7500","94.7500","94.7400","72.82K","0.00%"
"06/01/2007","94.7500","94.7500","94.7500","94.7500","158.68K","0.00%"
"05/01/2007","94.7500","94.7500","94.7600","94.7500","75.10K","0.00%"
"04/01/2007","94.7500","94.7500","94.7500","94.7400","140.48K","0.00%"
"03/01/2007","94.7500","94.7500","94.7600","94.7400","135.88K","0.00%"
"02/01/2007","94.7500","94.7500","94.7500","94.7500","62.80K","0.00%"
"01/01/2007","94.7500","94.7500","94.7600","94.7500","61.03K","-0.02%"
"12/01/2006","94.7700","94.7700","94.7700","94.7600","103.16K","0.02%"
"11/01/2006","94.7500","94.7500","94.7600","94.7500","76.55K","0.00%"
